transaction_id,user_id,transaction_date,category,description,amount_inr,payment_method
128,1,2025-02-28,Shopping,Personal shopping,2083.7,UPI
129,1,2025-02-22,Shopping,Personal shopping,2864.53,Net Banking
130,1,2025-02-25,Other,Miscellaneous expense,933.63,Cash
131,1,2025-02-17,Entertainment,Movie / subscription,1336.8,Cash
132,1,2025-02-06,Education,Course / books,2691.49,Cash
133,1,2025-02-27,Shopping,Personal shopping,2705.69,Credit Card
134,1,2025-03-15,Shopping,Personal shopping,1065.59,UPI
135,1,2025-03-11,Utilities,Electricity / mobile / internet,822.09,Credit Card
136,1,2025-03-05,Travel,Trip / hotel / tickets,1167.35,Debit Card
137,1,2025-03-07,Transport,Fuel / cab / metro,251.14,UPI
138,1,2025-03-15,Transport,Fuel / cab / metro,450.59,Cash
139,1,2025-03-13,Housing,Monthly rent / maintenance,16496.02,Net Banking
140,1,2025-03-29,Other,Miscellaneous expense,127.34,Net Banking
141,1,2025-03-12,Transport,Fuel / cab / metro,86.6,Credit Card
142,1,2025-03-31,Healthcare,Medicine / consultation,2596.98,Cash
143,1,2025-03-26,Shopping,Personal shopping,2650.83,Net Banking
144,1,2025-03-09,Travel,Trip / hotel / tickets,3531.73,Cash
145,1,2025-04-22,Housing,Monthly rent / maintenance,12025.17,Cash
146,1,2025-04-30,Utilities,Electricity / mobile / internet,1912.91,Debit Card
147,1,2025-04-30,Other,Miscellaneous expense,847.77,Cash
148,1,2025-04-03,Entertainment,Movie / subscription,1243.95,Cash
149,1,2025-04-02,Food,Food & groceries,927.95,Credit Card
150,1,2025-04-11,Transport,Fuel / cab / metro,317.06,Credit Card
151,1,2025-04-25,Healthcare,Medicine / consultation,1292.6,Cash
152,1,2025-04-01,Food,Food & groceries,312.69,Net Banking
153,1,2025-04-08,Housing,Monthly rent / maintenance,17567.28,UPI
154,1,2025-04-25,Healthcare,Medicine / consultation,2042.33,UPI
155,1,2025-05-05,Food,Food & groceries,213.02,Debit Card
156,1,2025-05-19,Food,Food & groceries,1264.52,Debit Card
157,1,2025-05-12,Shopping,Personal shopping,1119.98,Debit Card
158,1,2025-05-23,Entertainment,Movie / subscription,1740.16,UPI
159,1,2025-05-10,Healthcare,Medicine / consultation,700.36,UPI
160,1,2025-05-19,Entertainment,Movie / subscription,1682.66,Cash
161,1,2025-05-03,Transport,Fuel / cab / metro,880.82,Net Banking
162,1,2025-05-04,Utilities,Electricity / mobile / internet,1529.04,Credit Card
163,1,2025-06-19,Entertainment,Movie / subscription,349.74,UPI
164,1,2025-06-12,Transport,Fuel / cab / metro,559.78,UPI
165,1,2025-06-28,Shopping,Personal shopping,1391.94,Cash
166,1,2025-06-12,Education,Course / books,922.16,Cash
167,1,2025-06-24,Utilities,Electricity / mobile / internet,1183.88,Net Banking
168,1,2025-06-26,Other,Miscellaneous expense,478.12,Net Banking
169,1,2025-06-27,Healthcare,Medicine / consultation,1528.4,Net Banking
170,1,2025-06-27,Food,Food & groceries,1559.78,UPI
171,1,2025-06-25,Food,Food & groceries,910.3,Cash
172,1,2025-06-11,Entertainment,Movie / subscription,1252.51,UPI
173,1,2025-06-16,Shopping,Personal shopping,1340.05,Debit Card
174,1,2025-06-09,Transport,Fuel / cab / metro,369.35,Net Banking
175,1,2025-07-17,Travel,Trip / hotel / tickets,3923.59,Debit Card
176,1,2025-07-16,Food,Food & groceries,1346.52,Net Banking
177,1,2025-07-21,Healthcare,Medicine / consultation,2149.18,Cash
178,1,2025-07-10,Shopping,Personal shopping,355.18,Debit Card
179,1,2025-07-22,Transport,Fuel / cab / metro,352.5,Net Banking
180,1,2025-07-12,Transport,Fuel / cab / metro,699.89,Cash
181,1,2025-07-12,Other,Miscellaneous expense,870.54,Cash
182,1,2025-07-04,Food,Food & groceries,587.27,Debit Card
183,1,2025-07-31,Transport,Fuel / cab / metro,912.03,Debit Card
184,1,2025-07-09,Food,Food & groceries,1376.54,Net Banking
185,1,2025-07-10,Other,Miscellaneous expense,834.49,UPI
186,1,2025-07-12,Education,Course / books,1684.99,Debit Card
187,1,2025-08-09,Housing,Monthly rent / maintenance,13807.22,UPI
188,1,2025-08-23,Other,Miscellaneous expense,874.7,Debit Card
189,1,2025-08-04,Entertainment,Movie / subscription,1392.11,UPI
190,1,2025-08-15,Entertainment,Movie / subscription,924.5,Credit Card
191,1,2025-08-31,Food,Food & groceries,263.23,Cash
192,1,2025-08-16,Food,Food & groceries,285.86,UPI
193,1,2025-08-05,Entertainment,Movie / subscription,1282.64,Debit Card
194,1,2025-08-03,Education,Course / books,4296.5,Debit Card
195,1,2025-08-20,Food,Food & groceries,1418.4,Net Banking
196,1,2025-09-15,Food,Food & groceries,1026.57,Cash
197,1,2025-09-14,Transport,Fuel / cab / metro,739.15,Credit Card
198,1,2025-09-24,Entertainment,Movie / subscription,249.38,UPI
199,1,2025-09-07,Other,Miscellaneous expense,390.9,Credit Card
200,1,2025-09-06,Utilities,Electricity / mobile / internet,682.7,Net Banking
201,1,2025-09-15,Food,Food & groceries,184.33,Net Banking
202,1,2025-09-10,Shopping,Personal shopping,404.45,Credit Card
203,1,2025-09-22,Utilities,Electricity / mobile / internet,1217.26,Debit Card
204,1,2025-09-21,Other,Miscellaneous expense,1202.96,Net Banking
205,1,2025-09-14,Utilities,Electricity / mobile / internet,2080.6,UPI
206,1,2025-09-30,Shopping,Personal shopping,2372.43,Credit Card
207,1,2025-10-10,Food,Food & groceries,448.79,Net Banking
208,1,2025-10-10,Healthcare,Medicine / consultation,1815.32,Cash
209,1,2025-10-23,Food,Food & groceries,1295.66,Cash
210,1,2025-10-16,Other,Miscellaneous expense,800.66,Cash
211,1,2025-10-14,Food,Food & groceries,244.57,Credit Card
212,1,2025-10-08,Entertainment,Movie / subscription,192.68,Net Banking
213,1,2025-10-25,Entertainment,Movie / subscription,184.23,Credit Card
214,1,2025-10-06,Entertainment,Movie / subscription,1409.13,Cash
215,1,2025-11-06,Utilities,Electricity / mobile / internet,2048.93,Net Banking
216,1,2025-11-03,Transport,Fuel / cab / metro,991.95,Cash
217,1,2025-11-22,Transport,Fuel / cab / metro,453.31,UPI
218,1,2025-11-23,Travel,Trip / hotel / tickets,2612.86,Cash
219,1,2025-11-27,Food,Food & groceries,1711.21,Net Banking
220,1,2025-11-09,Housing,Monthly rent / maintenance,9792.54,Credit Card
221,1,2025-11-28,Food,Food & groceries,1431.53,Net Banking
222,1,2025-11-28,Education,Course / books,504.6,Net Banking
223,1,2025-11-17,Shopping,Personal shopping,473.45,Credit Card
224,1,2025-11-15,Entertainment,Movie / subscription,972.51,UPI
225,1,2025-11-30,Food,Food & groceries,1069.74,Credit Card
226,1,2025-12-01,Travel,Trip / hotel / tickets,3511.33,Net Banking
227,1,2025-12-10,Healthcare,Medicine / consultation,2201.9,Net Banking
228,1,2025-12-08,Housing,Monthly rent / maintenance,12671.92,UPI
229,1,2025-12-27,Shopping,Personal shopping,675.89,Debit Card
230,1,2025-12-17,Shopping,Personal shopping,2593.13,Credit Card
231,1,2025-12-16,Transport,Fuel / cab / metro,620.4,Debit Card
232,1,2025-12-07,Shopping,Personal shopping,762.85,Net Banking
233,1,2025-12-28,Shopping,Personal shopping,3113.84,UPI
234,1,2025-12-14,Food,Food & groceries,1459.81,Credit Card
235,1,2025-12-27,Other,Miscellaneous expense,810.83,UPI
236,2,2024-01-19,Utilities,Electricity / mobile / internet,1907.46,Cash
237,2,2024-01-16,Travel,Trip / hotel / tickets,3289.97,Credit Card
238,2,2024-01-13,Transport,Fuel / cab / metro,934.42,Cash
239,2,2024-01-23,Other,Miscellaneous expense,1317.44,Debit Card
240,2,2024-01-25,Entertainment,Movie / subscription,535.38,Cash
241,2,2024-01-23,Housing,Monthly rent / maintenance,15702.35,Cash
242,2,2024-01-27,Transport,Fuel / cab / metro,823.33,Debit Card
243,2,2024-01-17,Shopping,Personal shopping,418.46,Net Banking
244,2,2024-01-28,Transport,Fuel / cab / metro,192.41,Cash
245,2,2024-02-24,Shopping,Personal shopping,1762.17,Debit Card
246,2,2024-02-05,Transport,Fuel / cab / metro,813.36,UPI
247,2,2024-02-11,Shopping,Personal shopping,3401.45,Net Banking
248,2,2024-02-28,Utilities,Electricity / mobile / internet,1569.71,Credit Card
249,2,2024-02-13,Travel,Trip / hotel / tickets,5684.18,Credit Card
250,2,2024-02-16,Entertainment,Movie / subscription,1614.27,Net Banking
251,2,2024-02-21,Housing,Monthly rent / maintenance,9615.79,Credit Card
252,2,2024-03-04,Healthcare,Medicine / consultation,1443.42,UPI
253,2,2024-03-29,Shopping,Personal shopping,2520.8,UPI
254,2,2024-03-10,Housing,Monthly rent / maintenance,16165.29,Credit Card
255,2,2024-03-17,Transport,Fuel / cab / metro,243.04,Cash
256,2,2024-03-06,Entertainment,Movie / subscription,1457.66,Debit Card
257,2,2024-03-20,Food,Food & groceries,1590.76,Debit Card
258,2,2024-03-08,Shopping,Personal shopping,2166.1,Cash
259,2,2024-03-22,Entertainment,Movie / subscription,908.29,UPI
260,2,2024-04-06,Travel,Trip / hotel / tickets,4630.14,UPI
261,2,2024-04-19,Shopping,Personal shopping,1405.81,Credit Card
262,2,2024-04-09,Entertainment,Movie / subscription,850.11,Cash
263,2,2024-04-13,Education,Course / books,1296.87,Cash
264,2,2024-04-12,Food,Food & groceries,797.81,Net Banking
265,2,2024-04-01,Transport,Fuel / cab / metro,863.19,Cash
266,2,2024-04-22,Food,Food & groceries,1096.81,UPI
267,2,2024-04-27,Travel,Trip / hotel / tickets,5022.0,Credit Card
268,2,2024-04-26,Healthcare,Medicine / consultation,882.83,Credit Card
269,2,2024-04-09,Food,Food & groceries,488.01,Debit Card
270,2,2024-05-02,Food,Food & groceries,1196.48,Credit Card
271,2,2024-05-12,Healthcare,Medicine / consultation,341.75,Debit Card
272,2,2024-05-24,Food,Food & groceries,658.08,Cash
273,2,2024-05-18,Food,Food & groceries,394.1,Credit Card
274,2,2024-05-27,Shopping,Personal shopping,3223.16,Debit Card
275,2,2024-05-16,Food,Food & groceries,1516.0,Credit Card
276,2,2024-05-04,Healthcare,Medicine / consultation,1181.47,Cash
277,2,2024-05-31,Other,Miscellaneous expense,297.06,Debit Card
278,2,2024-05-13,Travel,Trip / hotel / tickets,4900.46,Net Banking
279,2,2024-05-01,Transport,Fuel / cab / metro,965.56,Credit Card
280,2,2024-05-22,Shopping,Personal shopping,1755.32,Credit Card
281,2,2024-05-31,Entertainment,Movie / subscription,1506.99,Credit Card
282,2,2024-06-20,Utilities,Electricity / mobile / internet,1248.66,Net Banking
283,2,2024-06-21,Transport,Fuel / cab / metro,763.29,UPI
284,2,2024-06-23,Entertainment,Movie / subscription,916.04,Credit Card
285,2,2024-06-02,Utilities,Electricity / mobile / internet,610.02,UPI
286,2,2024-06-04,Transport,Fuel / cab / metro,631.74,Debit Card
287,2,2024-06-15,Travel,Trip / hotel / tickets,1486.85,Credit Card
288,2,2024-06-18,Utilities,Electricity / mobile / internet,1737.65,Cash
289,2,2024-07-14,Healthcare,Medicine / consultation,674.94,UPI
290,2,2024-07-31,Education,Course / books,2962.61,Credit Card
291,2,2024-07-15,Housing,Monthly rent / maintenance,12334.77,Cash
292,2,2024-07-04,Other,Miscellaneous expense,1297.63,Credit Card
293,2,2024-07-12,Shopping,Personal shopping,3429.1,UPI
294,2,2024-07-04,Transport,Fuel / cab / metro,292.59,Cash
295,2,2024-07-21,Food,Food & groceries,523.61,Net Banking
296,2,2024-07-11,Other,Miscellaneous expense,170.81,Debit Card
297,2,2024-07-07,Other,Miscellaneous expense,1201.77,UPI
298,2,2024-07-19,Education,Course / books,2716.83,Debit Card
299,2,2024-07-25,Education,Course / books,1431.99,Debit Card
300,2,2024-08-05,Housing,Monthly rent / maintenance,16725.66,Debit Card
301,2,2024-08-04,Shopping,Personal shopping,2855.24,UPI
302,2,2024-08-26,Food,Food & groceries,760.35,Debit Card
303,2,2024-08-09,Entertainment,Movie / subscription,176.04,UPI
304,2,2024-08-04,Food,Food & groceries,861.96,UPI
305,2,2024-08-17,Shopping,Personal shopping,2789.65,Net Banking
306,2,2024-08-31,Food,Food & groceries,996.22,Net Banking
307,2,2024-08-28,Housing,Monthly rent / maintenance,16049.04,Net Banking
308,2,2024-08-01,Transport,Fuel / cab / metro,800.54,UPI
309,2,2024-08-14,Other,Miscellaneous expense,1286.22,UPI
310,2,2024-08-03,Shopping,Personal shopping,3211.04,UPI
311,2,2024-09-09,Entertainment,Movie / subscription,258.38,Net Banking
312,2,2024-09-11,Entertainment,Movie / subscription,1054.79,Cash
313,2,2024-09-15,Other,Miscellaneous expense,842.78,Net Banking
314,2,2024-09-23,Entertainment,Movie / subscription,313.64,UPI
315,2,2024-09-25,Travel,Trip / hotel / tickets,4475.32,Net Banking
316,2,2024-09-15,Utilities,Electricity / mobile / internet,787.04,Debit Card
317,2,2024-09-13,Transport,Fuel / cab / metro,1006.71,Cash
318,2,2024-09-11,Utilities,Electricity / mobile / internet,962.59,Credit Card
319,2,2024-09-30,Transport,Fuel / cab / metro,250.96,Cash
320,2,2024-10-14,Food,Food & groceries,318.29,UPI
321,2,2024-10-05,Healthcare,Medicine / consultation,1274.78,Net Banking
322,2,2024-10-18,Housing,Monthly rent / maintenance,17609.62,Credit Card
323,2,2024-10-28,Utilities,Electricity / mobile / internet,1139.46,Cash
324,2,2024-10-31,Travel,Trip / hotel / tickets,4882.15,Credit Card
325,2,2024-10-19,Entertainment,Movie / subscription,730.22,Net Banking
326,2,2024-10-08,Food,Food & groceries,1243.91,UPI
327,2,2024-11-25,Education,Course / books,1970.24,Credit Card
328,2,2024-11-28,Entertainment,Movie / subscription,1481.92,Net Banking
329,2,2024-11-20,Other,Miscellaneous expense,1245.8,Net Banking
330,2,2024-11-27,Housing,Monthly rent / maintenance,17361.76,Credit Card
331,2,2024-11-25,Housing,Monthly rent / maintenance,11459.43,Credit Card
332,2,2024-11-06,Other,Miscellaneous expense,591.43,Debit Card
333,2,2024-11-05,Entertainment,Movie / subscription,811.29,UPI
334,2,2024-11-13,Food,Food & groceries,1039.38,Cash
335,2,2024-11-10,Shopping,Personal shopping,803.71,Credit Card
336,2,2024-12-05,Entertainment,Movie / subscription,1607.51,Debit Card
337,2,2024-12-03,Healthcare,Medicine / consultation,386.85,Credit Card
338,2,2024-12-20,Shopping,Personal shopping,1656.85,Cash
339,2,2024-12-17,Transport,Fuel / cab / metro,321.44,UPI
340,2,2024-12-22,Transport,Fuel / cab / metro,204.2,Net Banking
341,2,2024-12-02,Shopping,Personal shopping,2434.82,Debit Card
342,2,2024-12-01,Transport,Fuel / cab / metro,751.24,Debit Card
343,2,2024-12-05,Transport,Fuel / cab / metro,316.58,Credit Card
344,2,2024-12-16,Food,Food & groceries,374.37,Cash
345,2,2024-12-23,Food,Food & groceries,795.94,Debit Card
346,2,2024-12-26,Shopping,Personal shopping,2966.73,Credit Card
347,2,2025-01-14,Transport,Fuel / cab / metro,911.09,UPI
348,2,2025-01-11,Shopping,Personal shopping,549.16,Net Banking
349,2,2025-01-21,Transport,Fuel / cab / metro,532.95,Cash
350,2,2025-01-31,Food,Food & groceries,836.15,Credit Card
351,2,2025-01-15,Food,Food & groceries,1715.14,Credit Card
352,2,2025-01-08,Food,Food & groceries,1548.06,Cash
353,2,2025-01-13,Entertainment,Movie / subscription,1014.54,Credit Card
354,2,2025-02-06,Transport,Fuel / cab / metro,453.04,UPI
355,2,2025-02-17,Shopping,Personal shopping,664.89,Debit Card
356,2,2025-02-24,Travel,Trip / hotel / tickets,2726.38,Debit Card
357,2,2025-02-07,Food,Food & groceries,417.24,Debit Card
358,2,2025-02-21,Entertainment,Movie / subscription,1404.36,UPI
359,2,2025-02-16,Food,Food & groceries,1432.01,Cash
360,2,2025-02-15,Healthcare,Medicine / consultation,2339.66,Net Banking
361,2,2025-02-11,Utilities,Electricity / mobile / internet,2175.76,Credit Card
362,2,2025-02-15,Food,Food & groceries,290.62,Credit Card
363,2,2025-02-12,Healthcare,Medicine / consultation,1876.4,Net Banking
364,2,2025-02-02,Food,Food & groceries,928.02,UPI
365,2,2025-02-21,Transport,Fuel / cab / metro,401.53,UPI
366,2,2025-03-19,Entertainment,Movie / subscription,784.4,Net Banking
367,2,2025-03-02,Other,Miscellaneous expense,1134.49,Cash
368,2,2025-03-07,Travel,Trip / hotel / tickets,4015.61,Credit Card
369,2,2025-03-31,Entertainment,Movie / subscription,977.26,UPI
370,2,2025-03-27,Shopping,Personal shopping,2895.09,Credit Card
371,2,2025-03-21,Other,Miscellaneous expense,218.06,Debit Card
372,2,2025-03-15,Housing,Monthly rent / maintenance,15368.6,Net Banking
373,2,2025-03-12,Shopping,Personal shopping,807.99,Credit Card
374,2,2025-03-22,Transport,Fuel / cab / metro,947.4,Net Banking
375,2,2025-03-11,Housing,Monthly rent / maintenance,14677.98,UPI
376,2,2025-03-13,Transport,Fuel / cab / metro,704.92,Credit Card
377,2,2025-04-30,Utilities,Electricity / mobile / internet,1581.82,Net Banking
378,2,2025-04-19,Travel,Trip / hotel / tickets,2633.5,Debit Card
379,2,2025-04-21,Travel,Trip / hotel / tickets,2499.34,Cash
380,2,2025-04-03,Food,Food & groceries,1328.31,Credit Card
381,2,2025-04-11,Shopping,Personal shopping,2359.18,Debit Card
382,2,2025-04-24,Utilities,Electricity / mobile / internet,1892.13,Net Banking
383,2,2025-04-17,Food,Food & groceries,1266.14,Credit Card
384,2,2025-04-07,Housing,Monthly rent / maintenance,11779.79,Credit Card
385,2,2025-04-08,Other,Miscellaneous expense,780.78,Debit Card
386,2,2025-05-04,Food,Food & groceries,1547.97,Net Banking
387,2,2025-05-29,Healthcare,Medicine / consultation,2546.58,Net Banking
388,2,2025-05-25,Housing,Monthly rent / maintenance,12030.88,Net Banking
389,2,2025-05-06,Food,Food & groceries,790.29,Debit Card
390,2,2025-05-26,Education,Course / books,3584.39,Debit Card
391,2,2025-05-12,Utilities,Electricity / mobile / internet,478.65,Debit Card
392,2,2025-05-25,Other,Miscellaneous expense,954.83,Cash
393,2,2025-05-31,Food,Food & groceries,567.45,Cash
394,2,2025-06-15,Transport,Fuel / cab / metro,1140.79,Cash
395,2,2025-06-17,Healthcare,Medicine / consultation,2389.84,Net Banking
396,2,2025-06-07,Transport,Fuel / cab / metro,261.51,Net Banking
397,2,2025-06-21,Food,Food & groceries,585.01,Cash
398,2,2025-06-04,Travel,Trip / hotel / tickets,3916.34,Net Banking
399,2,2025-06-25,Travel,Trip / hotel / tickets,2353.37,Debit Card
400,2,2025-06-05,Food,Food & groceries,1646.6,Cash
401,2,2025-06-27,Food,Food & groceries,1655.02,Cash
402,2,2025-07-13,Other,Miscellaneous expense,680.86,Net Banking
403,2,2025-07-03,Transport,Fuel / cab / metro,512.51,Credit Card
404,2,2025-07-04,Food,Food & groceries,696.27,Credit Card
405,2,2025-07-10,Healthcare,Medicine / consultation,628.4,Cash
406,2,2025-07-23,Utilities,Electricity / mobile / internet,649.83,Cash
407,2,2025-07-03,Shopping,Personal shopping,316.8,UPI
408,2,2025-07-18,Food,Food & groceries,1532.64,Net Banking
409,2,2025-07-10,Shopping,Personal shopping,655.8,Debit Card
410,2,2025-07-14,Transport,Fuel / cab / metro,133.48,Net Banking
